num_cajas,replica,E[T],Lq,rho,porcentaje_sla,costo_cajas,costo_espera,costo_sla,costo_total,clientes_atendidos
1,2,12.927985037256983,22.322237760237112,0.9867264049440921,27.27272727272727,30.0,85.32470124589607,263.6363636363637,378.96106488225973,66
1,3,13.086539466605355,24.321876591541287,0.9931667329293076,34.84848484848485,30.0,86.37116047959536,225.75757575757575,342.1287362371711,66
1,4,17.22775676987924,30.048881056222452,0.9942679657615453,15.384615384615385,30.0,111.98041900421504,323.0769230769231,465.05734208113813,65
1,5,15.065360135821342,26.834266167568828,0.9954444287330056,21.21212121212121,30.0,99.43137689642083,293.93939393939394,423.37077083581477,66
1,6,15.936373749123955,27.085441010617206,0.9943353909120447,19.047619047619047,30.0,100.39915461948092,304.76190476190476,435.1610593813857,63
1,7,15.228165925359143,30.46843750221901,0.9964533639750098,25.71428571428571,30.0,106.59716147751402,271.42857142857144,408.02573290608547,70
1,8,11.507473476371882,19.587429790464327,0.9741189108995765,36.36363636363637,30.0,75.94932494405444,218.18181818181816,324.1311431258726,66
1,9,13.444424487990371,29.697609211519996,0.9938866482130307,27.536231884057973,30.0,92.76652896713357,262.3188405797101,385.0853695468437,69
1,10,17.147466840743498,42.134437080041344,0.9983442864754231,30.76923076923077,30.0,111.45853446483272,246.15384615384613,387.61238061867886,65
2,1,2.1308100307483864,2.4906728776529063,0.8917425562012615,100.0,60.0,25.569720368980633,0.0,85.56972036898063,120
2,2,3.2987899004721286,4.549272714843565,0.8627003661256009,100.0,60.0,37.60620486538226,0.0,97.60620486538227,114
2,3,1.11078406586048,0.3237576702225923,0.5786438754623573,100.0,60.0,8.88627252688384,0.0,68.88627252688384,80
2,4,1.6397775155598773,1.5752177591959158,0.8896907120270683,100.0,60.0,19.677330186718525,0.0,79.67733018671852,120
2,5,2.5536363028808475,3.371846409872687,0.8888243012279409,100.0,60.0,28.85609022255359,0.0,88.85609022255359,113
2,6,2.0772206138448475,2.6533540731786975,0.9422640680397942,100.0,60.0,27.003867979983024,0.0,87.00386797998303,130
2,7,1.915694446745582,1.918186016996807,0.8550882867147346,100.0,60.0,21.264208358875972,0.0,81.26420835887598,111
2,8,2.0705611449909616,2.3579874971015546,0.8643471256081554,100.0,60.0,24.018509281895156,0.0,84.01850928189515,116
2,9,2.051448681841249,2.539841407993859,0.9260883359100588,100.0,60.0,25.027673918463236,0.0,85.02767391846324,122
2,10,1.5928995080292456,1.2758320216712173,0.8029005965082039,100.0,60.0,17.044024735912927,0.0,77.04402473591293,107
3,1,1.4370686025670893,1.3595738549372443,0.7965350680947719,100.0,90.0,21.84344275901976,0.0,111.84344275901975,152
3,2,0.9749550429539406,0.15015241867914966,0.5296039017763319,100.0,90.0,10.334523455311768,0.0,100.33452345531177,106
3,3,1.0652000354878643,0.31376287859291624,0.6368209575747027,100.0,90.0,13.315000443598308,0.0,103.31500044359831,125
3,4,1.2403764457714817,0.7484870589069396,0.6469611861757445,100.0,90.0,15.628743216720668,0.0,105.62874321672066,126
3,5,1.0924759622716225,0.30682147475001587,0.5806160835008508,100.0,90.0,12.12648318121502,0.0,102.12648318121502,111
3,6,1.126995493196487,0.3256416798806005,0.5933006944981901,100.0,90.0,12.509649974481,0.0,102.509649974481,111
3,7,0.9081619876431951,0.09533485726064243,0.4457655045988882,100.0,90.0,8.536722683846032,0.0,98.53672268384604,94
